state,city,facet,coefficient
FL,aventura,,-0.015048146304052152
GA,dallas,,-0.008693841515109156
FL,saint-cloud,,-0.027529721172913545
TX,magnolia,,-0.01083740089354579
GA,cumming,,-0.021248466142073142
FL,parrish,,-0.024050691474356276
FL,tamarac,,-0.02350737115636193
TX,kyle,,0.003101627519917952
TX,liberty-hill,,-0.03305867394992393
FL,doral,,-0.02557753475502272
TX,converse,,-0.025062155093521304
FL,poinciana,,-0.01571283464328133
TX,cleveland,,-0.036885608449926395
TX,pflugerville,,-0.01716428775386765
GA,griffin,,-0.01741498623424125
TX,fulshear,,-0.026491594998476215
TX,tomball,,-0.009238687113757025
TX,rosharon,,0.004821383987523169
FL,orange-park,,-0.015837580674835833
FL,coconut-creek,,-0.01318567074586119
TX,bastrop,,-0.014012923686802735
GA,monroe,,-0.022795535865420467
FL,margate,,-0.039908827427271365
TX,royse-city,,-0.035084932901387596
GA,villa-rica,,-0.015994708880374135
TX,midlothian,,-0.03422356078528164
TX,cibolo,,-0.023366695962832442
GA,jonesboro,,-0.02696977390031545
FL,north-miami,,-0.01520637547154722
FL,summerfield,,-0.03401427186296237
TX,porter,,-0.028238328890504594
FL,green-cove-springs,,-0.014572797833953492
GA,fairburn,,-0.025489467530706886
FL,middleburg,,-0.02030975212181863
TX,little-elm,,-0.030646195023490877
TX,celina,,-0.01478010300987645
GA,grovetown,,-0.023720534899321365
FL,weston,,-0.00890052066809364
TX,hutto,,-0.020163935090105105
FL,palm-harbor,,-0.017990057640783708
FL,labelle,,-0.022061484655228048
FL,apollo-beach,,-0.015269971455872729
TX,springtown,,-0.019197260756163244
TX,manor,,-0.031169306296410956
FL,land-o-lakes,,-0.0460418389433557
TX,buda,,-0.021609181701367795
FL,royal-palm-beach,,-0.016060730540381124
GA,hoschton,,-0.028206739076631654
TX,burleson,,-0.024997285545479375
TX,schertz,,-0.026055421318930492
TX,league-city,,-0.014017368396541666
TX,bulverde,,-0.03166734943439565
TX,aubrey,,0.0037476946990245667
FL,miami-gardens,,-0.026078281019313223
FL,parkland,,-0.035363867053970655
FL,riviera-beach,,-0.03709463254406699
FL,oakland-park,,-0.01902348381287875
FL,lauderdale-lakes,,-0.018222682291341843
FL,apopka,,-0.02757118776043055
GA,jefferson,,-0.037221126976097495
TX,dayton,,-0.027600661887136994
TX,melissa,,-0.01323602179100183
TX,lago-vista,,-0.006341115602794739
TX,manvel,,-0.018595276826814004
FL,port-richey,,-0.024321627280504503
TX,copperas-cove,,-0.031353546408160335
GA,lilburn,,-0.025406109825732177
GA,senoia,,-0.018219991123115762
TX,rosenberg,,-0.0003939420512884057
TX,dripping-springs,,-0.00813399764259275
FL,north-palm-beach,,-0.02203474502071906
FL,sanibel,,-0.033974571049156466
TX,mabank,,-0.032325825441045695
GA,greensboro,,-0.014177750954972286
TX,hockley,,-0.023260768332267312
TX,godley,,-0.011935362179617267
GA,suwanee,,-0.04486074294185182
FL,ruskin,,-0.01963062701391775
FL,longboat-key,,-0.029832228281864107
FL,auburndale,,-0.020130204220882107
FL,nokomis,,-0.021150540229009435
FL,lutz,,0.009979533765180158
TX,angleton,,-0.01934948616553553
FL,yulee,,-0.03090012023148113
GA,flowery-branch,,-0.052803261964883455
TX,azle,,0.01632505078399106
GA,evans,,-0.034925171115766034
GA,auburn,,-0.006325221202651859
FL,jensen-beach,,-0.029889802371528534
FL,weeki-wachee,,-0.00963368169076819
TX,lakeway,,-0.013426622472886353
TX,wylie,,-0.02943607298263579
FL,lake-wales,,-0.008532445718820796
GA,eatonton,,-0.029229784428053372
TX,spicewood,,-0.0086237026375933
FL,palm-city,,-0.04979544110562175
FL,wildwood,,-0.02514793365847927
TX,rowlett,,-0.018499481180618466
FL,dania-beach,,-0.018374256677058654
GA,austell,,-0.012274834471363991
GA,cleveland,,0.03413961043314623
TX,alvin,,-0.014421836156887571
FL,san-antonio,,-0.036256318354227594
TX,jarrell,,-0.0037450778005497895
TX,elgin,,-0.055743152519563084
TX,crosby,,-0.02758389235752382
GA,jasper,,-0.02280787246438929
FL,pinellas-park,,-0.016667037802695385
TX,aledo,,-0.020904820400692237
FL,tavares,,-0.022885953984851985
FL,hobe-sound,,-0.017132867345302828
TX,heartland,,-0.03050721216778143
GA,st-marys,,-0.030391607232585056
GA,braselton,,-0.014789382471308291
GA,ellenwood,,-0.025260419646196124
GA,south-fulton,,-0.05272853274778517
FL,lighthouse-point,,-0.032830180326690016
GA,statham,,-0.019244483448666288
TX,argyle,,-0.03480785190380172
TX,la-porte,,-0.014672068716047607
FL,pinecrest,,-0.015544794940209206
GA,kingsland,,-0.010999625750062678
FL,odessa,,-0.017138638879919666
GA,perry,,-0.0074867352921074975
GA,east-point,,-0.0021400528404060333
TX,trinity,,-0.020261562851905276
TX,la-vernia,,-0.030139036568854194
TX,dickinson,,-0.024419584223681238
TX,splendora,,-0.023521851385593803
TX,corsicana,,-0.022460489779047146
GA,temple,,-0.07274418490190268
FL,palmetto-bay,,-0.014941542738943934
FL,rotonda-west,,-0.01293331920844849
GA,bonaire,,-0.04477821415476416
TX,decatur,,-0.01381463438147595
GA,thomaston,,-0.0021774620611910277
GA,hartwell,,-0.021152457124881924
GA,forsyth,,-0.007119615144380296
TX,horseshoe-bay,,-0.02961903378126776
TX,the-colony,,-0.018716748391707654
TX,fresno,,-0.012685550104289095
GA,calhoun,,-0.024056531677612326
FL,holmes-beach,,-0.03742961291296375
TX,fate,,-0.04883290039625432
TX,la-marque,,-0.01657961460930897
FL,wilton-manors,,-0.015814789605777795
GA,commerce,,-0.019390909037783642
TX,von-ormy,,-0.018600599463920564
TX,iowa-colony,,-0.020002137288077253
TX,alvarado,,-0.029275632568847885
GA,grayson,,-0.013038535523980365
FL,eustis,,-0.03136670992752114
TX,sanger,,-0.0065269837580114835
FL,lauderdale-by-the-sea,,-0.0047212101678693425
TX,mineral-wells,,-0.027984986355968723
FL,belleview,,-0.00884767644744093
